348, 310, 1258, 346, 1248, 593, 339, 556, 0.8319856524467468, 0, 0.9975022673606873
358, 563, 1216, 576, 1216, 646, 358, 633, 0.9585395455360413, 0, 1.0
132, 72, 426, 90, 423, 146, 129, 127, 0.8381947875022888, 0, 0.9998518228530884
111, 204, 151, 208, 130, 524, 91, 521, 0.9696417450904846, 0, 0.9992501139640808
1940, 380, 2129, 380, 2129, 1753, 1940, 1753, 0.47419473528862, 0, 0.6603439450263977
177, 44, 496, 46, 496, 114, 177, 112, 0.9754824638366699, 0, 0.9995852112770081
868, 931, 1583, 924, 1583, 1002, 868, 1009, 0.9120041728019714, 0, 1.0
864, 1023, 1549, 1016, 1549, 1074, 864, 1081, 0.9735926985740662, 0, 1.0
864, 1213, 1167, 1213, 1167, 1295, 864, 1295, 0.8855972290039062, 0, 1.0
1450, 1213, 1573, 1213, 1573, 1292, 1450, 1292, 0.987123429775238, 0, 0.999670147895813
854, 1298, 1390, 1305, 1390, 1373, 854, 1366, 0.9954761266708374, 0, 1.0
1456, 1424, 1673, 1499, 1629, 1628, 1413, 1553, 0.7274745106697083, 1, 0.6713666319847107
858, 1485, 1104, 1485, 1104, 1560, 858, 1560, 0.9930005073547363, 0, 1.0
854, 1570, 1160, 1570, 1160, 1628, 854, 1628, 0.9873895645141602, 0, 1.0
871, 1784, 1377, 1791, 1377, 1873, 871, 1866, 0.8845008611679077, 0, 1.0
1490, 1791, 1649, 1791, 1649, 1866, 1490, 1866, 0.8137246370315552, 0, 0.9999923706054688
868, 1886, 1257, 1886, 1257, 1944, 868, 1944, 0.9166099429130554, 0, 1.0
1726, 1934, 1826, 1934, 1826, 1968, 1726, 1968, 0.9978909492492676, 0, 0.9999998807907104
1746, 1978, 1802, 1978, 1802, 2019, 1746, 2019, 0.8141860365867615, 0, 0.9533258676528931
1144, 2039, 1539, 2033, 1539, 2114, 1144, 2121, 0.9734275937080383, 0, 1.0
878, 2074, 997, 2060, 1014, 2230, 894, 2244, 0.9272369146347046, 0, 0.9736115336418152
1071, 2067, 1100, 2067, 1100, 2104, 1071, 2104, 0.6798563599586487, 1, 0.7127338647842407
2331, 2135, 2388, 2135, 2388, 2182, 2331, 2182, 0.21478481590747833, 0, 0.7741230130195618
1150, 2145, 1556, 2138, 1556, 2216, 1150, 2223, 0.9968836903572083, 0, 1.0
9, 2220, 172, 2220, 172, 2284, 9, 2284, 0.8626481294631958, 0, 0.9999948740005493
4, 8, 48, 8, 48, 27, 4, 27, 0.46787509322166443, 0, 0.9965907335281372
375, 9, 442, 9, 442, 27, 375, 27, 0.9719974398612976, 0, 0.9987758994102478
19, 51, 43, 51, 43, 73, 19, 73, 0.7261530756950378, 0, 0.5176586508750916
75, 48, 164, 48, 164, 72, 75, 72, 0.9780100584030151, 0, 1.0
406, 53, 419, 53, 419, 72, 406, 72, 0.9100712537765503, 0, 0.8274096250534058
23, 123, 359, 123, 359, 147, 23, 147, 0.9806663393974304, 0, 1.0
20, 173, 205, 173, 205, 190, 20, 190, 0.9672503471374512, 0, 1.0
146, 264, 385, 264, 385, 285, 146, 285, 0.8114277124404907, 0, 1.0
390, 451, 432, 453, 431, 477, 389, 475, 0.999596118927002, 0, 0.9999899864196777
213, 148, 310, 150, 309, 188, 212, 186, 0.49927443265914917, 0, 0.9993745684623718
864, 975, 1443, 979, 1443, 1050, 864, 1047, 0.9946960806846619, 0, 1.0
788, 1210, 1253, 1210, 1253, 1305, 788, 1305, 0.22918550670146942, 0, 0.9314722418785095
1217, 1224, 1380, 1224, 1380, 1302, 1217, 1302, 0.14962080121040344, 0, 0.7795634865760803
1393, 1227, 1483, 1227, 1483, 1298, 1393, 1298, 0.18337270617485046, 1, 0.8616481423377991
76, 0, 679, 0, 674, 120, 71, 92, 0.3329721689224243, 0, 0.6220095157623291
129, 194, 580, 208, 579, 258, 127, 245, 0.9288954138755798, 0, 1.0
873, 1132, 892, 1132, 892, 1153, 873, 1153, 0.07723075896501541, 1, 0.8296213746070862
2, 1146, 173, 1144, 173, 1177, 2, 1180, 0.790181577205658, 0, 1.0
372, 1184, 3112, 1336, 3094, 1675, 355, 1523, 0.9968716502189636, 0, 1.0
